,word,woman,man,crossterm_similarity,woman_similarity,man_similarity,crossterm_relation,woman_relation,man_relation,word_sentiment,woman_sentiment,man_sentiment,woman_alignment,man_alignment,woman_alignment-dual,man_alignment-dual
0,technical,vocational,tactical,0.2262580394744873,0.5554148554801941,0.5634778738021851,,,,0.125,0.0,0.0,0.755344569683075,0.7193781137466431,0.3735159933567047,0.22055964171886444
1,new,first,on,0.7421913743019104,0.7413790822029114,0.7567962408065796,,,,0.375,0.0,0.0,0.5309937596321106,0.6190673112869263,0.00847728829830885,0.11081647872924805
2,strong,stronger,good,0.5926071405410767,0.8151371479034424,0.7346069812774658,,synonim,,0.5,0.5,0.75,0.7681175470352173,0.6396835446357727,0.1346476972103119,0.13322076201438904
3,able,unable,need,0.6535106301307678,0.8421813249588013,0.8364372253417969,,antonym,,0.125,-0.75,0.0,0.7519840002059937,0.6760568618774414,0.21766877174377441,-0.019838005304336548
4,financial,corporate,economic,0.5916512608528137,0.7738927602767944,0.7714813947677612,,,,0.25,0.0,0.0,0.736717939376831,0.7232993841171265,0.07497788220643997,0.021190209314227104
5,equal,individual,same,0.6571885347366333,0.675154983997345,0.6407648921012878,,,,0.125,0.0,0.0,0.6202179193496704,0.6184525489807129,0.023732250556349754,0.13767455518245697
6,excellent,quality,good,0.7208518981933594,0.7606267929077148,0.7936238050460815,hyp,,,0.0,0.375,0.5,0.7301879525184631,0.715429961681366,0.08162450045347214,0.09286519885063171
7,professional,amateur,players,0.5386894941329956,0.7884015440940857,0.6728629469871521,,,,0.0,0.0,0.0,0.6827468276023865,0.70387864112854,-0.019069425761699677,0.36890119314193726
8,high,school,low,0.46814626455307007,0.7406656742095947,0.8233938217163086,,,antonym,0.125,0.0,0.0,0.6699804067611694,0.7148200273513794,0.18901024758815765,0.037252411246299744
9,related,cases,linked,0.5537815690040588,0.735926628112793,0.7061301469802856,,,,0.0,0.0,0.0,0.7246244549751282,0.7013819217681885,0.2397681623697281,0.12113397568464279
10,general,secretary,chief,0.6976257562637329,0.7606938481330872,0.7243471145629883,hyp,,,0.0,0.0,0.0,0.7367059588432312,0.6547791361808777,0.13790440559387207,0.04998406395316124
11,responsible,involved,involved,1.0,0.8069928884506226,0.8069928884506226,synonim,,,0.0,0.0,0.0,0.6817337870597839,0.666772186756134,0.042298320680856705,-0.042298320680856705
12,medical,nursing,medicine,0.642410397529602,0.7482515573501587,0.821526288986206,,,,0.125,-0.375,0.0,0.7256391644477844,0.741412341594696,0.20243056118488312,0.023133516311645508
13,commercial,private,business,0.7172019481658936,0.7153205871582031,0.7169246673583984,,,,0.0,0.125,0.0,0.6698543429374695,0.6510211825370789,0.09911658614873886,0.010214918293058872
14,competitive,compete,better,0.610657811164856,0.7188614010810852,0.6633695960044861,,,,0.0,0.0,0.5,0.7355515956878662,0.6519390344619751,0.15785709023475647,0.12080896645784378
15,basic,requirements,standard,0.6119791269302368,0.6453527212142944,0.722046971321106,,,,0.0,0.0,0.0,0.7247039675712585,0.6950618624687195,0.14533179998397827,0.03837545961141586
16,mechanical,electrical,electrical,1.0,0.8106434345245361,0.8106434345245361,synonim,,,0.0,0.0,0.0,0.7960533499717712,0.7659358978271484,0.052586574107408524,-0.052586574107408524
17,good,better,better,0.9999999403953552,0.893191397190094,0.893191397190094,synonim,,,0.5,0.5,0.5,0.7450448274612427,0.6681807637214661,0.1292131245136261,-0.1292131245136261
18,national,health,international,0.5098621845245361,0.6145458817481995,0.6781955361366272,,,,0.0,0.625,0.0,0.611751139163971,0.640002429485321,0.23351041972637177,0.12048095464706421
19,local,residents,well,0.522437572479248,0.653510332107544,0.6803033947944641,,,,0.0,0.0,0.0,0.6340354084968567,0.6003605127334595,0.21294084191322327,0.13897454738616943
20,successful,unsuccessful,success,0.45133084058761597,0.7013134360313416,0.7856672406196594,,,,0.0,-0.5,0.125,0.7227279543876648,0.7049304842948914,0.21540573239326477,0.08576737344264984
21,microsoft,google,software,0.6750386357307434,0.8104098439216614,0.7803657650947571,,,,0.0,0.0,0.0,0.7995244860649109,0.7723168134689331,0.10321488231420517,0.051079701632261276
22,great,little,good,0.7981972098350525,0.7585745453834534,0.759279727935791,,,,0.0,-0.25,0.5,0.6357304453849792,0.526340663433075,0.253858745098114,-0.10631000250577927
23,necessary,allow,need,0.7389895915985107,0.7560960650444031,0.7890342473983765,,,hyp,-0.125,0.0,0.0,0.7308297157287598,0.7415334582328796,0.0873630940914154,0.05809464305639267
24,essential,necessary,necessary,1.0,0.7851075530052185,0.7851075530052185,synonim,synonim,synonim,-0.125,-0.125,-0.125,0.7458911538124084,0.7445279359817505,-0.0037622961681336164,0.0037622961681336164
25,various,numerous,different,0.65913325548172,0.8572206497192383,0.8308271765708923,,,,0.0,-0.125,0.625,0.7988282442092896,0.7657731771469116,0.09942328929901123,0.07975868880748749
26,multiple,separate,types,0.557310163974762,0.7014893889427185,0.7381399869918823,,,,0.0,0.0,0.0,0.6513559818267822,0.7337146997451782,0.025118663907051086,0.13289041817188263
27,personal,care,real,0.4836409389972687,0.5634113550186157,0.6161788105964661,,,,0.0,0.0,0.0,0.5545016527175903,0.567715048789978,0.2795860469341278,0.20274825394153595
28,full,formal,end,0.5225406885147095,0.6518464088439941,0.7387114763259888,,,,0.0,0.0,0.0,0.6795852184295654,0.640823245048523,0.2078551948070526,0.15122677385807037
29,comprehensive,adoption,implementation,0.5807520747184753,0.5233189463615417,0.6919518113136292,,,,0.0,0.0,0.0,0.6928246021270752,0.7566444873809814,0.2825223207473755,0.11401806771755219
30,verbal,responses,rhetorical,0.35429176688194275,0.5629509687423706,0.5563845634460449,,,,0.0,0.0,0.0,0.6893389225006104,0.6966519355773926,0.11045902222394943,0.09944804012775421
31,internal,external,external,1.0,0.7308046221733093,0.7308046221733093,synonim,antonym,antonym,0.0,0.0,0.0,0.7350426912307739,0.7160562872886658,0.024807428941130638,-0.024807428941130638
32,top,leading,leading,1.0,0.7558044791221619,0.7558044791221619,synonim,,,0.0,0.375,0.375,0.6276417970657349,0.5876398086547852,0.07535748928785324,-0.07535748928785324
33,current,present,same,0.7829398512840271,0.7507789134979248,0.7392706871032715,,,,0.0,-0.125,0.0,0.7088857889175415,0.6348859667778015,0.19175580143928528,-0.011020162142813206
34,administrative,judicial,operational,0.32602304220199585,0.6429081559181213,0.5225086808204651,,,,0.25,0.0,0.0,0.6707127094268799,0.6810796856880188,0.057060468941926956,0.20192541182041168
35,following,due,later,0.6880037188529968,0.8074450492858887,0.7953055500984192,,,,0.0,0.0,0.0,0.7465283870697021,0.6726526021957397,0.12387312948703766,-0.017966974526643753
36,global,emerging,economic,0.6677562594413757,0.7693755030632019,0.7488915920257568,,,,0.0,0.0,0.0,0.7479536533355713,0.7064930200576782,0.143978551030159,0.00991134624928236
37,electrical,mechanical,mechanical,1.0,0.8106434345245361,0.8106434345245361,synonim,,,0.0,0.0,0.0,0.7659358978271484,0.7960533499717712,-0.052586574107408524,0.052586574107408524
38,appropriate,proper,necessary,0.7123542428016663,0.7660836577415466,0.7912397384643555,,,,0.0,0.75,0.625,0.7423551678657532,0.7537875175476074,0.12063939869403839,0.053592585027217865
39,qualified,eligible,champions,0.2648753523826599,0.666273295879364,0.53667813539505,,,,0.0,0.5,0.0,0.6981831192970276,0.6630285382270813,0.14478769898414612,0.2965186834335327
40,available,instance,well,0.7128779888153076,0.6810981035232544,0.6818867325782776,,,,0.375,0.0,0.75,0.6287893652915955,0.6910627484321594,0.038820311427116394,0.159140944480896
41,subject,subjects,rather,0.5334301590919495,0.7315782904624939,0.7238997220993042,,,,0.0,0.0,0.0,0.6806075572967529,0.6614171862602234,0.051138125360012054,0.1831398904323578
42,primary,secondary,main,0.5231676697731018,0.7232718467712402,0.665277361869812,,,,0.0,0.0,0.0,0.6770305037498474,0.7117387056350708,-0.07814224064350128,0.3229016065597534
43,external,genitalia,input,0.1444135159254074,0.4053851366043091,0.5325705409049988,,,,0.0,0.0,0.0,0.6577801704406738,0.6828554272651672,0.29586806893348694,0.14760787785053253
44,specific,particular,particular,1.0000001192092896,0.8216216564178467,0.8216216564178467,synonim,synonim,synonim,0.0,0.0,0.0,0.7051876783370972,0.7745669484138489,-0.09612973034381866,0.09612973034381866
45,organizational,organisational,organisational,1.0,0.8240088224411011,0.8240088224411011,synonim,,,0.0,0.0,0.0,0.8350643515586853,0.8415486812591553,-0.03767513111233711,0.03767513111233711
46,first,second,second,1.0,0.9297722578048706,0.9297722578048706,synonim,,,0.0,0.0,0.0,0.7147144675254822,0.733615517616272,-0.059109706431627274,0.059109706431627274
47,open,women,set,0.48373106122016907,0.5103959441184998,0.6936700940132141,,,,0.0,0.0,0.125,0.44920477271080017,0.6531366109848022,0.3426528573036194,0.21782749891281128
48,long,longer,short,0.707891047000885,0.7952097654342651,0.8219378590583801,,,,0.0,0.0,0.0,0.6538801193237305,0.6414566040039062,0.15341821312904358,0.010177092626690865
49,innovative,collaborative,creative,0.6251122951507568,0.7016941905021667,0.745296835899353,,,,0.5,0.125,0.375,0.766403079032898,0.7540779113769531,0.11410639435052872,0.07563601434230804
